('グランマニエサイドカー', 'ブランデーベース', '20~25', '甘口', 'グランマニエ、レモンジュース', 'オレンジリキュールとブランデーの組み合わせを楽しみたい人。', 'オレンジリキュールとブランデーの組み合わせを楽しみたい人に向けた特徴です。'),
('アペロールミスト', 'ビールベース', '~10', '辛口', 'アペロール、レモン', 'アペロールの苦味が好きな人、イタリアンスタイルのカクテルを楽しみたい人', 'ビールにアペロールやソーダを加え、爽やかな味わいを楽しむ。'),
('ウーロンハイ', '焼酎、サワー', '~10', '甘口', 'ウーロン茶、炭酸水', '和食や軽食との相性が良い、さっぱりとした味わいを好む方におすすめです。', 'ウーロン茶の風味とさっぱりとした味わいが楽しめるカクテル。'),
('Jim Beam', 'ウィスキーベース', '40', '辛口', 'バーボン特有のバニラとキャラメルの甘さ、スパイシーな余韻が特徴。', 'マイルドでバニラのようなフレーバーを好む人。', 'アメリカのバーボンウイスキーであり、穏やかでスムーズな味わいが楽しめる。'),
('テキーラ・トニック', 'テキーラベース', '15~20', '辛口', 'トニックウォーター', 'シンプルでさっぱりとしたカクテルを好む人。', 'シンプルでさっぱりとした味わいで、トニックウォーターの爽やかさが引き立ちます。'),
('りんごサワー', '焼酎、サワー', '~10', '甘口', 'りんごジュース、炭酸水', 'りんごの風味を楽しみたい方にお勧めです。', 'りんごの甘酸っぱい風味が楽しめるカクテル。'),
('久保田', '日本酒', '15', '辛口', '特になし', 'フルーティーな香りとキレのある飲み口を好む人。食事と一緒に楽しみたい人。', '新潟県のお酒でフルーティーな香りとさっぱりとした味わい。キレが良い。'),
('アーント・アガサ', 'ラムベース', '15~20', '辛口', 'オレンジジュース、アロマティック・ビターズ、（レモン）', 'ユニークで独特なフレーバーを試してみたい人。', 'ラムの芳醇な風味にミントの爽やかな香りが加わり、スッキリとした味わい。'),
('ジャック・ローズ', 'ブランデーベース', '25~30', '甘口', 'ライムジュース、シュガーシロップ', 'フルーティで酸味の効いたカクテルを楽しみたい人。', 'フルーティで酸味の効いたカクテルを楽しみたい人に向けた特徴です。'),
('グレープフルーツサワー', '焼酎、サワー', '~10', '甘口', 'グレープフルーツジュース、炭酸水', '爽やかな酸味とほのかな甘さを楽しみたい方にお勧めです。', 'グレープフルーツの爽やかな酸味が特徴のカクテル。'),
('リースリング', '白ワイン', '5~15', '中口', '特になし', 'フルーティで爽やかな白ワインを楽しみたい人。', 'フルーティで爽やかな白ワインを楽しみたい人向けの中口の白ワイン。'),
('レッドバード', 'ビールベース', '~10', '甘口', 'トマトジュース、ウォッカ', 'ピリ辛の飲み物が好きな人、トマトジュースとビールのユニークな組み合わせを試したい人', 'ビールに赤ワインを加え、深みのある味わいを楽しむ。'),
('グリーンアラスカ', 'ジンベース', '15~20', '甘口', 'ミントリキュール、レモンジュース、ミントエキス、（ミント）', 'ハーブの香りとクリーミーな口当たりを楽しみたい人、複雑な風味が好きな人。', 'ジンのボタニカルな香りとミントの爽やかさが調和した、フレッシュな味わい。'),
('ニッキーズフィズ', 'ジンベース', '15~20', '甘口', 'レモンジュース、グレナデンシロップ、ソーダ水', 'シトラス系のフルーツと爽やかな泡立ちを楽しみたい人、軽やかなカクテルが好きな人。', 'ジンとレモンジュース、シロップの酸味と甘み、シャンパンの泡が加わった、華やかな味わい。'),
('ボイラーメーカー', 'ビールベース', '~10', '甘口', 'バーボン', '強いアルコールを求めている人、ウイスキーとビールの組み合わせを楽しみたい人', 'ビールとウイスキーを混ぜ、力強い味わいを楽しむ。'),
('テキーラ・デイジー', 'テキーラベース', '15~20', '甘口', 'レモンジュース、シュガーシロップ、（カットレモン）', 'フルーティで爽やかなカクテルを楽しみたい人。', 'レモンジュースとシュガーシロップの爽やかさが特徴で、フルーティで爽やかな味わいを楽しめます。'),
('デビル', 'ブランデーベース', '20~30', '辛口', 'ミントリキュール、レッドペッパー', 'スパイシーで少し甘めのカクテルを好む人。', 'スパイシーで少し甘めのカクテルを好む人に向けた特徴です。'),
('貴腐ワイン', 'デザートワイン', '10~15', '甘口', '特になし', '甘くて複雑なデザートワインを好む人。', '甘くて複雑なデザートワインを好む人向けの甘口のデザートワイン。'),
('山崎', 'ウィスキーベース', '43', '辛口', 'フルーティーで華やかな香り、バランスの取れた味わい。', 'リッチでバランスの取れたウイスキーを楽しみたい人。', 'サントリーのシングルモルトウイスキーであり、フルーティーでスムーズな味わいが楽しめる。'),
('ソルティドッグ', 'ウォッカベース', '10~15', '辛口', 'グレープフルーツジュース、塩', '少し塩味の効いた飲み物が好きな人。', 'グレープフルーツジュースの爽やかな酸味と塩味が加わり、すっきりとした味わい。'),
('ラムバック', 'ラムベース', '15~20', '甘口', 'ジンジャエール', '少しスパイシーでさっぱりしたカクテルを好む人。', 'ラムのキレとコーヒーリキュールの甘みが調和した、リッチな味わい。'),
('シラー', 'ロゼ・ワイン', '10~15', '辛口', '特になし', 'スパイシーでリッチな赤ワインを好む人。', 'スパイシーでリッチな赤ワインを好む人向けの辛口のロゼ・ワイン。'),
('パリジャン', 'ジンベース', '20~25', '甘口', 'カシスリキュール、レモンジュース', 'キュラソーの風味とジンの爽やかな味わいが好きな人、ロマンチックな雰囲気のカクテルが好きな人。', 'ジンの芳香にカシスリキュールの甘酸っぱさ、ドライベルモットの辛口が調和した、バランスの良い味わい。'),
('一ノ蔵', '日本酒', '15', '辛口', '特になし', 'しっかりとした米の旨味を求める人。すっきりとした後味が好きな人。', '宮城県のお酒でしっかりとした米の旨味を感じるが、後味はすっきり。'),
('XYZ', 'ラムベース', '15~20', '辛口', 'ホワイトキュラソー、レモンジュース', '甘さと酸味のバランスが取れたカクテルを楽しみたい人。', 'XYZは一般的にカクテル名としては知られていません。恐らく特定のカクテルの名前ではないかもしれません。'),
('チェリーブロッサム', 'ブランデーベース', '20~25', '甘口', 'チェリーブランデー、オレンジリキュール、シュガーシロップ、レモンジュース', 'フルーティで華やかなカクテルを楽しみたい人。', 'フルーティで華やかなカクテルを楽しみたい人に向けた特徴です。'),
('コスモポリタン', 'ウォッカベース', '15~20', '甘口', 'トリプルセック、クランベリージュース、ライムジュース', 'スタイリッシュでフルーティなカクテルを好む人。', 'ウォッカとコーヒーリキュールの甘みとコーヒーの豊かな風味が加わり、リッチな味わい。'),
('ビアスプリッツァー', 'ビールベース', '~10', '甘口', '白ワイン', '軽くて爽やかな飲み物を好む人、夏にぴったりのカクテルを探している人', 'ビールにスプリッツァーを加え、さわやかな味わいにする。'),
('ギムレット', 'ジンベース', '20~30', '辛口', 'ライムジュース、（ライム）', 'ジンとライムジュースから成るシンプルな構成であり、クラシックなカクテルを好む人。', 'ジンとライムジュースのシャープな酸味が特徴で、シンプルで爽快な味わい。'),
('エル・ディアブロ', 'テキーラベース', '15~20', '辛口', 'カシスリキュール、レモンジュース、ジンジャエール、（カットレモン、カットライム）', '少しスパイシーでフルーティなカクテルを好む人。', 'カシスリキュールのスパイシーさとレモンジュースの酸味が加わり、少しスパイシーでフルーティな味わいです。'),
('コーラサワー', '焼酎、サワー', '~10', '甘口', 'コーラ、炭酸水', 'ソフトドリンクのような飲み心地で、広く受け入れられる味わいです。', 'コーラの甘さとレモンの酸味がマッチしたカクテル。'),
('アイスブレーカー', 'テキーラベース', '15~20', '辛口', 'ホワイトキュラソーグレープフルーツジュース、シュガーシロップ', 'さっぱりとした味わいのカクテルを楽しみたい人。', 'ホワイトキュラソーとグレープフルーツジュースの爽やかな風味が特徴で、さっぱりとした味わいを楽しめます。'),
('テキーラ・バック', 'テキーラベース', '20~40', '甘口', 'ジンジャエール、レモン汁', 'さっぱりとしたテキーラベースのカクテルを楽しみたい人。', 'ジンジャエールの爽やかさとレモン汁の酸味によってさっぱりとした味わいが楽しめます。'),
('シャンパン', 'スパークリングワイン', '10~15', '中口', '特になし', '特別な瞬間を祝うために泡立つワインを楽しみたい人。', '特別な瞬間を祝うために泡立つワインを楽しみたい人向けの中口のスパークリングワイン。'),
('ブルドッグ', 'ウォッカベース', '10~15', '辛口', 'ジン、レモンジュース、シュガーシロップ、ソーダ水', '少し異なるジンベースのカクテルを試したい人。', 'ウォッカとアップルシュニップの爽やかな風味にレモンジュースの酸味が加わり、すっきりとした味わい。'),
('男梅サワー', '焼酎、サワー', '~10', '甘口', '男梅、炭酸水', '梅の爽やかな酸味とほんのりとした塩味が好きな方にお勧めです。', '男梅の独特の風味と酸味が特徴のカクテル。'),
('ライムサワー', '焼酎、サワー', '~10', '甘口', 'ライムジュース、炭酸水', 'クセの少ないサワーで、フルーティーな酸味を楽しみたい方にお勧めです。', 'ライムの爽やかな酸味が特徴のカクテル。'),
('ラムコリンズ', 'ラムベース', '10~15', '辛口', 'レモンジュース、シュガーシロップ、ソーダ', 'さっぱりとした味わいが好きな人。', 'ラムのキレとレモンジュースの酸味が加わり、すっきりとした味わい。'),
('カルーアビール', 'ビールベース', '~10', '甘口', 'カルーアリキュール', 'コーヒーリキュールが好きな人、甘いビールカクテルを楽しみたい人', 'ビールにカルーアを加え、コクのある甘さを楽しむ。'),
('獺祭', '日本酒', '16', '甘口', '特になし', 'フルーティーで華やかな香りを楽しみたい人。滑らかな飲み口を求める人。', '山口県のお酒でフルーティーで華やかな香り。滑らかな飲み口。'),
('シャンディガフ', 'ビールベース', '~10', '甘口', 'ジンジャエール', 'ビールの苦味が苦手な人、爽やかな味を好む人', 'ビールとレモンジュースを混ぜ合わせ、軽快で爽やかな味わいにする。'),
('プランターズ・パンチ', 'ラムベース', '15~20', '甘口', 'ホワイトキュラソー、レモンジュース、オレンジジュース、シュガーシロップ、ソーダ、（オレンジ、ライム）', '甘くてフルーティなカクテルを楽しみたい人。', 'ラムのスムーズな風味にフルーツジュースの甘みが加わり、トロピカルな味わい。'),
('ウォッカ・リッキー', 'ウォッカベース', '10~15', '辛口', 'ライムジュース、ソーダ水', 'シンプルでさっぱりとした味わいを楽しみたい人。', 'ウォッカとカカオリキュールの甘みとチョコレートの濃厚な味わいが加わり、濃厚な味わい。'),
('生ビール', 'ビールベース', '~10', '辛口', '特になし', 'ビールのフレッシュでピュアな味を楽しみたい人、炭酸が強めでのど越しの良い飲み物を好む人', '爽やかでクリアな味わいを楽しめる。'),
('グルナッシュ', 'ロゼ・ワイン', '10~15', '辛口', '特になし', 'スパイシーでフルーティな赤ワインを楽しみたい人。', 'スパイシーでフルーティな赤ワインを楽しみたい人向けの辛口のロゼ・ワイン。'),
('緑茶ハイ', '焼酎、サワー', '~10', '甘口', '緑茶、炭酸水', '日本酒をあまり飲んだことがない方や、軽めのアルコールを求める方にお勧めです。', '緑茶のさわやかな風味とアルコールがマッチしたカクテル。'),
('キウイサワー', '焼酎、サワー', '~10', '甘口', 'キウイフルーツジュース、炭酸水', 'フルーティーな味わいを楽しみたい方にお勧めです。', 'キウイの爽やかな酸味が楽しめるカクテル。'),
('スコーピオン', 'ラムベース', '20~30', '辛口', 'ブランデー、オレンジジュース、レモンジュース、ライムジュース', '複雑でトロピカルなフレーバーを楽しみたい人。', 'ラムのスムーズな風味にミントの爽やかな香りが加わり、スッキリとした味わい。'),
('パイナップルフィズ', 'ラムベース', '15~20', '甘口', 'パイナップルジュース、シュガーシロップ、ソーダ', 'パイナップルの風味が好きな人。', 'ラムのキレとフルーツジュースの甘みが加わり、華やかな味わい。'),
('マティーニ', 'ジンベース', '20~30', '辛口', 'ドライベルモット、（オリーブ）、（レモンの皮）', 'シンプルでクラシックなカクテルが好きな人、オリーブの風味が好きな人。', 'ジンとドライベルモットのシンプルな組み合わせにより、辛口で洗練された味わい。オリーブの塩味がアクセント。'),
('ロングアイランドアイスティー', 'テキーラベース', '15~20', '辛口', 'ドライジン、ウォッカ、ホワイトラム、ホワイトキュラソー、レモン汁（レモンジュース）、コーラ、（レモンスライス）', 'アルコール度数の高いカクテルを楽しみたい人。', 'ドライジンやウォッカなど複数のアルコールが組み合わさり、アルコール度数の高い強い味わいを持ちます。'),
('キャロル', 'ブランデーベース', '20~25', '甘口', 'スイートベルモット、（パールオニオン）', 'クリーミーで滑らかなカクテルを好む人。', 'クリーミーで滑らかなカクテルを好む人に向けた特徴です。'),
('ドン・キホーテ', 'テキーラベース', '15~20', '辛口', 'ギネスビール', 'クリーミーで甘いカクテルを好む人。', 'クリーミーで甘い味わいで、ギネスビールのコクと甘みが特徴です。'),
('シャンゼリゼ', 'ブランデーベース', '20~25', '甘口', 'シャルトリューズヴェール、レモンジュース、アンゴチュラビターズ', 'ハーバルで複雑な味わいを楽しみたい人。', 'ハーバルで複雑な味わいを楽しみたい人に向けた特徴です。'),
('ブロードウェイ・サースト', 'テキーラベース', '15~20', '辛口', 'オレンジジュース、レモンジュース、砂糖', '強くてシンプルなカクテルを好む人。', 'オレンジジュースとレモンジュースの酸味と砂糖の甘みが特徴で、強くてシンプルな味わいを楽しめます。'),
('レッドアイ', 'ビールベース', '~10', '辛口', 'トマトジュース', 'ビールとトマトジュースが好きな人、朝の飲み物を探している人', 'ビールにトマトジュースを加え、パンチの効いた味わいにする。'),
('カイピロスカ', 'ウォッカベース', '10~15', '甘口', 'ライム、砂糖', 'フレッシュなライムの風味を楽しみたい人。', 'ウォッカとココナッツリキュールの甘みにパイナップルジュースのフルーティーさが加わり、トロピカルな味わい。'),
('ロングアイランドアイスティー', 'ウォッカベース', '20~25', '辛口', 'ラム、ジン、テキーラ、トリプルセック、レモンジュース、シュガーシロップ、ソーダ水', 'アルコール度数の高いカクテルを楽しみたい人。', 'ウォッカとベリーリキュールの甘みとフルーティーな風味が加わり、華やかな味わい。'),
('ホワイトレディ', 'ジンベース', '20~25', '甘口', 'トリプルセック、レモンジュース、（レモン）', 'レモンの酸味と爽やかな香りを楽しみたい人、さっぱりとしたカクテルが好きな人。', 'ジンの芳香にコアントロー（オレンジリキュール）の甘み、レモンジュースの酸味が加わり、バランスの良い味わい。'),
('ビアスプリッツァールージュ', 'ビールベース', '~10', '甘口', '赤ワイン', '赤ワインの風味が好きな人、フルーティーなビールカクテルを楽しみたい人', 'ビールに赤ワインやスプリッツァーを加え、豊かなフルーツ味わいを楽しむ。'),
('柚子サワー', '焼酎、サワー', '~10', '甘口', '柚子ジュース、炭酸水', 'シトラスの爽やかな香りと風味を楽しみたい方にお勧めです。', '柚子の爽やかな風味と酸味が特徴のカクテル。'),
('アンバサダー', 'テキーラベース', '15~20', '辛口', 'オレンジジュース、シュガーシロップ、スライスオレンジ、マラスキーノチェリー', 'クラシックで洗練されたカクテルを楽しみたい人。', 'オレンジジュースの甘みとシュガーシロップの風味が加わり、クラシックで洗練された味わいです。'),
('焼酎水割り', '焼酎、サワー', '20~25', '辛口', '水', 'シンプルな味わいを楽しみたい方にお勧めです。', '焼酎を水で割ったシンプルな飲み方。'),
('天狗舞', '日本酒', '15.9', '辛口', '特になし', '芳醇な旨味と酸味のバランスを楽しみたい人。香り豊かな酒が好きな人。', '石川県のお酒で芳醇な旨味と酸味のバランスが良い。香りも豊か。'),
('アレキサンダー', 'ブランデーベース', '20~25', '甘口', 'カカオリキュール、生クリーム、（ナツメグパウダー）', 'クリーミーで甘いデザートカクテルを楽しみたい人。', 'クリーミーで甘いデザートカクテルを楽しみたい人に向けた特徴です。'),
('サイドカー', 'ブランデーベース', '20~30', '甘口', 'ホワイトキュラソー、レモンジュース', 'クラシックで洗練されたカクテルを楽しみたい人。', 'クラシックで洗練されたカクテルを楽しみたい人に向けた特徴です。'),
('ネグローニ', 'ジンベース', '20~25', '辛口', 'カンパリ、スウィートベルモット', 'ビターやハーブの香りとジンの力強い味わいが好きな人、オールドファッションなカクテルが好きな人。', 'ジンの芳香にカンパリの苦味、スイートベルモットの甘みが加わり、ビターで濃厚な味わい。'),
('ロングアイランドアイスティー', 'ジンベース', '15~20', '甘口', 'ラム、ウォッカ、テキーラ、トリプルセック、レモンジュース、シュガーシロップ、ソーダ水、（レモン）', '強いお酒の味を楽しみたい人、多彩なお酒が入ったカクテルが好きな人。', 'ジン、ラム、テキーラ、ウォッカの多種のスピリッツにコーラとレモンジュースが加わり、強いアルコール感とコーラの甘さが特徴的。'),
('ハイジ', 'ビールベース', '~10', '甘口', 'カルピス', 'ハーブ系のフレーバーが好きな人、独特な味を楽しみたい人', 'ビールとシードルを混ぜ、甘さと酸味が絶妙にマッチした味わいにする。'),
('アイスワイン', 'デザートワイン', '5~15', '甘口', '特になし', '甘くて濃厚なデザートワインを好む人。', '甘くて濃厚なデザートワインを好む人向けの甘口のデザートワイン。'),
('ピノ・ノワール', 'ロゼ・ワイン', '10~15', '辛口', '特になし', 'エレガントでフルーティな赤ワインを楽しみたい人。', 'エレガントでフルーティな赤ワインを楽しみたい人向けの辛口のロゼ・ワイン。'),
('クレオパトラ', 'ラムベース', '15~20', '甘口', 'クレーム・ド・モカ、生クリーム、（ナツメグパウダー）', 'ミルクとラムのユニークな組み合わせを楽しみたい人。', 'ラムのスムーズな風味にミントの爽やかな香りが加わり、スッキリとした味わい。'),
('ジンライム', 'ジンベース', '10~15', '辛口', 'ライムジュース、（ライム）', 'ライムの爽やかな酸味を楽しみたい人、フルーティーなカクテルが好きな人。', 'ジンのボタニカルな香りにライムの酸味が加わり、シャープでフレッシュな味わい。'),
('キューバンカクテル', 'ブランデーベース', '20~25', '甘口', 'アプリコットブランデー、ライムジュース', 'ラムとブランデーのユニークな組み合わせを好む人。', 'ラムとブランデーのユニークな組み合わせを好む人に向けた特徴です。'),
('ブル・ショット', 'ウォッカベース', '10~15', '辛口', 'ブルーキュラソー', 'ユニークなスープカクテルに興味がある人。', 'ウォッカとクランベリージュースの酸味にオレンジジュースの甘みが加わり、バランスの良い味わい。'),
('マイタイ', 'ラムベース', '10~15', '甘口', 'オレンジキュラソー、パイナップルジュース、オレンジジュース、レモンジュース、ダークラム', 'トロピカルで複雑な味わいを楽しみたい人。', 'ラムの甘みとフルーツの風味が調和した、トロピカルな味わい。'),
('ブルーラグーン', 'ウォッカベース', '10~15', '甘口', 'ブルーキュラソー、レモンジュース、シュガーシロップ、（レモン）', '見た目も鮮やかなカクテルが好きな人。', 'ウォッカとコーヒーリキュールの甘みが加わり、リッチな味わい。'),
('オリンピック', 'ブランデーベース', '20~30', '甘口', 'オレンジキュラソー、オレンジジュース', 'フルーティで甘いカクテルを好む人。', 'フルーティで甘いカクテルを好む人に向けた特徴です。'),
('ブルームーン', 'ジンベース', '15~20', '甘口', 'クルアーオ、レモンジュース', 'ブルーキュラソーの爽やかな香りと青い色を楽しみたい人、甘くてフルーティーなカクテルが好きな人。', 'ジンの芳香にパルフェタムール（バイオレットリキュール）の花の香りと甘み、レモンジュースの酸味が調和した、エレガントな味わい。'),
('ホットエッグノッグ', 'ブランデーベース', '15~20', '甘口', 'ダークラム、卵、シュガー、ミルク', '温かくてリラックスできるカクテルを好む人。', ' 温かくてリラックスできるカクテルを好む人に向けた特徴です。'),
('パナシェ', 'ビールベース', '~10', '甘口', 'レモンスカッシュ', '軽い飲み物を好む人、ビールの苦味が苦手な人', 'ビールとシャンパンを混ぜ、華やかな雰囲気を演出する。'),
('エメラルドクーラー', 'ジンベース', '10~15', '甘口', 'ミントリキュール、ライムジュース、シュガーシロップ、ソーダ水、（ミント）', '爽やかなミントの香りが好きな人、シトラス系のフルーツを楽しみたい人。', 'ジンとミントの爽やかさにライムジュースの酸味が加わった、清涼感のある味わい。'),
('レモンサワー', '焼酎、サワー', '~10', '甘口', 'レモンジュース、炭酸水', 'フルーティーな味わいが好きな方や、軽快な飲み口を求める方にお勧めです。', '爽やかなレモンの風味が特徴のカクテル。'),
('ソル・クバーノ', 'ラムベース', '15~20', '辛口', 'グレープフルーツジュース、トニックウォーター', 'トロピカルな味わいを楽しみたい人。', 'ラムのスムーズな風味にミントの爽やかな香りが加わり、爽やかな味わい。'),
('あんずサワー', '焼酎、サワー', '~10', '甘口', 'あんずジュース、炭酸水', '桃のような甘さと酸味が好きな方にお勧めです。', 'あんずの爽やかな酸味が特徴のカクテル。'),
('ロングアイランドアイスティー', 'ラムベース', '15~20', '辛口', 'ドライジン、ウォッカ、ホワイトラム、テキーラ、ホワイトキュラソー、レモンジュース（レモンジュース）、コーラ、（レモンスライス）', 'アルコール度数の高いカクテルを楽しみたい人。', 'ラムのフルーティーな風味にパイナップルジュースとココナッツクリームの甘みが加わり、トロピカルな味わい。'),
('ハバナビーチ', 'ラムベース', '15~20', '甘口', 'パイナップルジュース、シュガーシロップ', '軽くてフルーティなカクテルを楽しみたい人。', 'ラムの甘みとシトラスの風味が調和した、爽やかな味わい。'),
('マルガリータ', 'テキーラベース', '20~30', '甘口', 'ホワイトキュラソー、レモンジュース（ライムジュース）、塩', '塩とライムの風味を楽しみたい人。', 'ホワイトキュラソーとレモンジュースの酸味と塩の風味が特徴で、塩とライムの爽やかな風味を楽しめます。'),
('ティー・ティー・ティー', 'テキーラベース', '10~15', '辛口', 'トリプルセック、トニックウォーター、（カットライム）', 'アルコールのユニークな組み合わせを楽しみたい人。', 'トリプルセックの風味とトニックウォーターの爽やかさが特徴で、ユニークな組み合わせを楽しめます。'),
('キッス・オブ・ファイヤー', 'ウォッカベース', '10~15', '甘口', 'クランベリージュース、レモンジュース、シュガーシロップ、タバスコソース', '辛味と甘味のバランスを楽しみたい人。', 'ウォッカのキレとブルーキュラソーの爽やかな風味にレモンジュースの酸味が加わり、フレッシュな味わい。'),
('ブレイブ・ブル', 'テキーラベース', '20~30', '甘口', 'コーヒーリキュール', '強くてコーヒー風味のカクテルを好む人。', 'コーヒーリキュールのコクと風味が特徴で、強くてコーヒー風味の味わいを楽しめます。'),
